mu,rho,h,cash,lower,upper,gap,beta,floor,moment_residual
0.1,0.2,1.0,0.1,0.09,0.09000000000100011,1.0001166561579566e-12,0.08999999999999998,0.0642857142857143,1.3877787807814457e-17
0.1,0.2,1.0,0.2,0.08000000000000002,0.08000000000100012,1.0001027783701488e-12,0.07999999999999999,0.03366600265340755,1.1102230246251565e-16
0.1,0.2,1.0,0.3,0.07,0.07000000000100001,1.0000056338554941e-12,0.06999999999999998,0.020415945787922968,1.1102230246251565e-16
0.1,0.2,0.5,0.1,0.08280000000000001,0.08280000000100035,1.0003387007628817e-12,0.08279999999999996,0.0642857142857143,1.3877787807814457e-17
0.1,0.2,0.5,0.2,0.0656,0.06560000000100044,1.0004358452775364e-12,0.06559999999999996,0.03366600265340755,1.1102230246251565e-16
0.1,0.2,0.5,0.3,0.04840000000000001,0.048400000001000025,1.000012572749398e-12,0.048399999999999985,0.020415945787922968,1.3877787807814457e-17
0.1,0.2,0.2,0.1,0.07119613440000001,0.07122092503936306,2.4790639363045375e-05,0.06922079999999994,0.0642857142857143,3.469446951953614e-18
0.1,0.2,0.2,0.2,0.042392268800000014,0.04244185007772609,4.958127772607818e-05,0.03844159999999997,0.03366600265340755,3.469446951953614e-18
0.1,0.2,0.2,0.3,0.02702533120000001,0.02703819593088877,1.2864730888760556e-05,0.025878399999999982,0.020415945787922968,3.469446951953614e-18
0.1,0.2,0.1,0.1,0.06562282365808021,0.06572399098776209,0.00010116732968187825,0.05732986316012303,0.0642857142857143,3.469446951953614e-18
0.1,0.2,0.1,0.2,0.036554506421105186,0.03662971408389236,7.520766278717311e-05,0.03285968287901536,0.03366600265340755,3.469446951953614e-18
0.1,0.2,0.1,0.3,0.021039704521683394,0.021133553024615052,9.384850293165867e-05,0.01827396176344615,0.020415945787922968,0.0
0.1,0.2,0.05,0.1,0.06453045265633209,0.06467557668628207,0.0001451240299499834,0.053923184886349576,0.0642857142857143,3.469446951953614e-18
0.1,0.2,0.05,0.2,0.034207827711587036,0.03435716150943674,0.00014933379784970446,0.02943106813767417,0.03366600265340755,1.1102230246251565e-16
0.1,0.2,0.05,0.3,0.020470389306771093,0.020606524314951438,0.00013613500818034432,0.015523169521743305,0.020415945787922968,1.1102230246251565e-16
0.1,0.2,0.02,0.1,0.06429002864779955,0.06446635738667567,0.00017632873887611644,0.05144555724129114,0.0642857142857143,2.7755575615628914e-17
0.1,0.2,0.02,0.2,0.03368607341430852,0.033887349083904214,0.00020127566959569215,0.027118139823156234,0.03366600265340755,3.469446951953614e-18
0.1,0.2,0.02,0.3,0.020416227489499915,0.02056158473912712,0.00014535724962720653,0.013755824559257068,0.020415945787922968,3.469446951953614e-18
0.1,1.0,1.0,0.1,0.09000000000000001,0.09000000000000001,0.0,0.09000000000000001,0.09,0.0
0.1,1.0,1.0,0.2,0.08000000000000002,0.08000000000000002,0.0,0.08000000000000002,0.08,0.0
0.1,1.0,1.0,0.3,0.06999999999999999,0.06999999999999999,0.0,0.06999999999999999,0.07,0.0
0.1,1.0,0.5,0.1,0.09000000000000001,0.09000000000000001,0.0,0.09000000000000001,0.09,0.0
