DEPINS,BKCLASS,SCMTGBK,REPDTE,DEPDOM,ASSET,DEP,NAME,SC,DEPUNINS,SCUST,CHBAL,CERT,LNLSNET,BRO,ID,INSFDIC,INSDIF,cash_ratio,treasury_ratio,size_bin
59880,NM,19021.0,20241231,78615,89047,78615,GERBER STATE BANK,42549,18882,2888,1812,899,42980,0.0,899_20241231,1,1,0.02304903644342683,0.0597850283024868,<1bn
253363,NM,48609.0,20241231,333313,362791,333313,BYRON BANK,106664,80547,6131,18638,902,230062,0.0,902_20241231,1,1,0.05591741096206869,0.07431153300351322,<1bn
270066,NM,20028.0,20241231,1243586,1427519,1243586,AMALGAMATED BANK OF CHICAGO,154512,974130,46877,462346,903,748856,0.0,903_20241231,1,1,0.37178450062963075,0.40947952131979615,1-10bn
12687556,SM,14012439.0,20241231,48645965,154947706,124949239,NORTHERN TRUST CO,50981993,36730706,7367491,45727786,913,43222566,0.0,913_20241231,1,1,0.9400119002675762,1.0914631254616904,>=100bn
81160,SM,3590.0,20241231,96155,110905,96155,STATE BANK OF GENEVA,22776,15066,2264,14461,925,69506,0.0,925_20241231,1,1,0.15039259528885654,0.17393791274504705,<1bn
387674,N,9754.0,20241231,516256,570814,516256,PEOPLES NB OF KEWANEE,322097,130106,0,52138,926,172354,0.0,926_20241231,1,1,0.100992530837414,0.100992530837414,<1bn
40145,NM,2571.0,20241231,52686,56688,52686,CITIZENS STB OF MILFORD,18287,12594,0,9554,931,22863,0.0,931_20241231,1,1,0.181338495995141,0.181338495995141,<1bn
235040,NM,75616.0,20241231,355490,467480,355490,IOWA STATE BANK,137503,120997,0,12249,950,284432,20115.0,950_20241231,1,1,0.034456665447691916,0.034456665447691916,<1bn
187447,NM,4864.0,20241231,210490,260666,210490,CHEROKEE STATE BANK,71134,23696,7323,3987,951,170778,11500.0,951_20241231,1,1,0.01894151741175353,0.05373176873010594,<1bn
2726604,NM,529898.0,20241231,5813674,7173068,5813674,BANKERS TRUST CO,1033108,3104242,91139,114301,953,5614157,484896.0,953_20241231,1,1,0.019660717129993874,0.03533737873847072,1-10bn
175699,SM,4182.0,20241231,210873,273163,210873,FNB BANK,44499,35904,9172,6015,954,209652,0.0,954_20241231,1,1,0.0285242776457868,0.07201965163866403,<1bn
259069,SM,7692.0,20241231,408955,488603,408955,CONNECTION BANK,14847,150440,0,6622,955,436095,0.0,955_20241231,1,1,0.01619249061632698,0.01619249061632698,<1bn
211964,SM,11188.0,20241231,281105,316322,281105,GLENWOOD STATE BANK,130215,69453,48082,28281,956,153945,0.0,956_20241231,1,1,0.10060653492467228,0.27165294107184146,<1bn
1667654,NM,352556.0,20241231,1891046,2407498,1891046,UNITED BANK OF IOWA,642888,232376,18842,71674,958,1554353,76524.0,958_20241231,1,1,0.03790177499648343,0.047865572809968664,1-10bn
